id;cod;tree_parent;metacategory;display;name_es;name_gl;name_en
1;APPLICANT;0;1;1;APPLICANT;APPLICANT;APPLICANT
2;APPINSTITUTIONAL;1;0;1;"Institucional";"Institucional";"Institutional"
3;AICORP;2;0;1;"Corporativos";"Corporativos";"Corporativos"
4;AIPRESS;2;0;1;"Rueda de prensa";"Rueda de prensa";"Rueda de prensa"
5;AIEVENT;2;0;1;"Eventos institucionales";"Eventos institucionales";"Eventos institucionales"
6;AICULTURE;2;0;1;"Cultura";"Cultura";"Cultura"
7;AISPORT;2;0;1;"Deportes";"Deportes";"Deportes"
8;AISECRETARY;2;0;1;"Secretaría General";"Secretaría General";"Secretaría General"
9;AIORENSE;2;0;1;"Vic. Campus de Orense";"Vic. Campus de Orense";"Vic. Campus de Orense"
10;AIPONTE;2;0;1;"Vic. Campus de Pontevedra";"Vic. Campus de Pontevedra";"Vic. Campus de Pontevedra"
11;AIECONOMY;2;0;1;"Vic. Economía y Planificación";"Vic. Economía y Planificación";"Vic. Economía y Planificación"
12;AIINTER;2;0;1;"Vic. Relaciones Internacionales";"Vic. Relaciones Internacionales";"Vic. Relaciones Internacionales"
13;AIORG;2;0;1;"Vic. de Organización Académica, Profesorado e Titulacións";"Vic. de Organización Académica, Profesorado e Titulacións";"Vic. de Organización Académica, Profesorado e Titulacións"
14;AIINV;2;0;1;"Vic. de Investigación";"Vic. de Investigación";"Vic. de Investigación"
15;AIQUAL;2;0;1;"Vic. de Alumnado, Docencia e Calidade";"Vic. de Alumnado, Docencia e Calidade";"Vic. de Alumnado, Docencia e Calidade"
16;AIKNOW;2;0;1;"Vic. de Transferencia do Coñecemento";"Vic. de Transferencia do Coñecemento";"Vic. de Transferencia do Coñecemento"
17;AIEXT;2;0;1;"Vic. de Extensión Universitaria";"Vic. de Extensión Universitaria";"Vic. de Extensión Universitaria"
18;AIEURO;2;0;1;"Vic. Titulaciones y Convergencia Europea (Anterior 2010)";"Vic. Titulaciones y Convergencia Europea (Anterior 2010)";"Vic. Titulaciones y Convergencia Europea (Anterior 2010)"
19;AIINST;2;0;1;"Vic. Relaciones Institucionales (Anterior 2010)";"Vic. Relaciones Institucionales (Anterior 2010)";"Vic. Relaciones Institucionales (Anterior 2010)"
20;AITECH;2;0;1;"Vic. de nuevas Tecnologías y Calidad (Anterior 2010)";"Vic. de nuevas Tecnologías y Calidad (Anterior 2010)";"Vic. de nuevas Tecnologías y Calidad (Anterior 2010)"
