id;cod;tree_parent_cod;metatag;display;name_en;name_es;name_gl;name_de
2627;ITUNESU;ROOT;1;1;iTunes;iTunes;iTunes;iTunes
2628;100;ITUNESU;0;1;Business;Negocios;Negocios;BWL
2641;100100;100;0;1;Economics;Económicas;Económicas;Wirtschaftswissenschaften
2642;100101;100;0;1;Finance;Finanzas;Finanzas;Finanz
2643;100102;100;0;1;Hospitality;Servicios;Servizos;Gastfreundschaft
2644;100103;100;0;1;Management;Gestión;Xestión;Management
2645;100104;100;0;1;Marketing;Marketing;Marketing;Marketing
2646;100105;100;0;1;Personal Finance;Finanzas Personales;Finanzas Persoais;Private Finanzen
2647;100106;100;0;1;Real Estate;Bienes Inmuebles;Bens Inmobles;Immobilien
12647;100107;100;0;1;Entrepreneurship;Emprendimiento;Emprendemento;Unternehmertum
2629;101;ITUNESU;0;1;Engineering;Ingeniería;Enxeñaría;Ingenieurswissenschaften
2648;101100;101;0;1;Chemical & Petroleum Engineering;Química y Petróleo;Química e Petróleo;Chemieingenieurswesen & Erdöltechnik
2649;101101;101;0;1;Civil Engineering;Civil;Civil;Bauwesen
2650;101102;101;0;1;Computer Science;Informática;Informática;Informatik
2651;101103;101;0;1;Electrical Engineering;Eléctrica;Eléctrica;Elektrotechnik
2652;101104;101;0;1;Environmental Engineering;Medioambiental;Medioambiental;Umweltingenieurswesen
2653;101105;101;0;1;Mechanical Engineering;Mecánica;Mecánica;Maschinenbau
2630;102;ITUNESU;0;1;Art & Architecture;Arte y Arquitectura;Arte e Arquitectura;Kunst & Architektur
2654;102100;102;0;1;Architecture;Arquitectura;Arquitectura;Architektur
2655;102101;102;0;1;Art;Arte;Arte;Kunst
2656;102102;102;0;1;Art History;Historia del Arte;Historia da Arte;Kunstgeschichte
2657;102103;102;0;1;Dance;Baile;Baile;Tanz
2658;102104;102;0;1;Film;Cine;Cine;Film
2659;102105;102;0;1;Design;Diseño;Deseño;Design
2660;102106;102;0;1;Interior Design;Diseño de Interiores;Deseño de Interiores;Innenarchitektur
2661;102107;102;0;1;Music;Música;Música;Musik
2662;102108;102;0;1;Theater;Teatro;Teatro;Theater
12662;102109;102;0;1;Culinary Arts;Artes culinarias;Artes culinarias;Kochkunst
22662;102110;102;0;1;Visual Art;Arte Visual;Arte Visual;Bildende Kunst
32662;102111;102;0;1;Fashion;Moda;Moda;Mode
42662;102112;102;0;1;Media Arts;Artes audiovisuales;Artes audiovisuais;Medienkunst
52662;102113;102;0;1;Photography;Fotografía;Fotografía;Fotografie
2631;103;ITUNESU;0;1;Health & Medicine;Salud y Medicina;Saúde e Medicina;Gesundheit & Medizin
2663;103100;103;0;1;Anatomy & Physiology;Anatomía y Fisiología;Anatomía e Fisioloxía;Anatomie & Physiologie
2664;103101;103;0;1;Behavioral Science;Ciencia del Comportamiento;Ciencia do Comportamento;Verhaltensforschung
2665;103102;103;0;1;Dentistry;Odontología;Odontoloxía;Zahnheilkunde
2666;103103;103;0;1;Diet & Nutrition;Dieta y Nutrición;Dieta e Nutrición;Diät & Ernährung
2667;103104;103;0;1;Emergency Medicine;Medicina de Urgencia;Medicina de Urxencia;Notfallmedizin
2668;103105;103;0;1;Genetics;Genética;Xenética;Genetik
2669;103106;103;0;1;Gerontology;Gerontología;Xerontoloxía;Gerontologie
2670;103107;103;0;1;Health & Exercise Science;Ciencias de la Actividad Física y de la Salud;Ciencias da Actividade Física e da Saúde;"Gesundheits- & Sportwissenschaften"
2671;103108;103;0;1;Immunology;Inmunología;Inmunoloxía;Immunologie
2672;103109;103;0;1;Neuroscience;Neurología;Neuroloxía;Neurowissenschaften
2673;103110;103;0;1;Pharmacology & Toxicology;Farmacología y Toxicología;Farmacoloxía e Toxicoloxía;Pharmakologie & Toxikologie
2674;103111;103;0;1;Psychiatry;Psiquiatría;Psiquiatría;Psychiatrie
2675;103112;103;0;1;Global Health;Sanidad Pública;Sanidade Pública;Globale Gesundheit
2676;103113;103;0;1;Radiology;Radiología;Radioloxía;Radiologie
12676;103114;103;0;1;Nursing;Enfermería;Enfermería;Pflegewesen
2632;104;ITUNESU;0;1;History;Historia;Historia;Geschichte
2677;104100;104;0;1;Ancient History;Antigua;Antiga;Alte Geschichte
2678;104101;104;0;1;Medieval History;Medieval;Medieval;Mittelalterliche Geschichte
2679;104102;104;0;1;Military History;Militar;Militar;Militärgeschichte
2680;104103;104;0;1;Modern History;Moderna;Moderna;Neuere Geschichte
2681;104104;104;0;1;African History;Africana;Africana;Geschichte Afrikas
2682;104105;104;0;1;Asia-Pacific History;Asiática;Asiática;Asiatisch-pazifische Geschichte
2683;104106;104;0;1;European History;Europea;Europea;Europäische Geschichte
2684;104107;104;0;1;Middle Eastern History;Oriente Medio;Oriente Medio;Geschichte des Nahen Ostens
2685;104108;104;0;1;North American History;América del Norte;América do Norte;Nordamerikanische Geschichte
2686;104109;104;0;1;South American History;América del Sur;América do Sur;Südamerikanische Geschichte
2634;106;ITUNESU;0;1;Language;Lenguaje;Linguaxe;Sprache
2690;106100;106;0;1;African Languages;Africano;Africano;Afrikanische Sprachen
2691;106101;106;0;1;Ancient Languages;Antiguo;Antigo;Antike Sprachen
2692;106102;106;0;1;Asian;Asiático;Asiático;Asiatisch
2693;106103;106;0;1;Eastern European/Slavic;Europeo del Este / Eslavo;Europeo do Este / Eslavo;Osteuropäisch/slavisch
2694;106104;106;0;1;English;Inglés;Inglés;Englisch
2695;106105;106;0;1;English Language Learners;Inglés para Aprendices;Inglés para Aprendices;Englisch als Fremdsprache
2696;106106;106;0;1;French;Francés;Francés;Französisch
2697;106107;106;0;1;German;Alemán;Alemán;Deutsch
2698;106108;106;0;1;Italian;Italiano;Italiano;Italienisch
2699;106109;106;0;1;Linguistics;Lingüística;Lingüística;Linguistik
2700;106110;106;0;1;Middle Eastern;Oriente Medio;Oriente Medio;Sprachen des Nahen Ostens
2701;106111;106;0;1;Spanish;Español;Español;Spanisch
2702;106112;106;0;1;Speech Pathology;Patología del Lenguaje;Patoloxía da Linguaxe;Logopädie
12702;106113;106;0;1;Chinese;Chino;Chino;Chinesisch
22702;106114;106;0;1;Arabic;Árabe;Arábico;Arabisch
32702;106115;106;0;1;Hebrew;Hebreo;Hebreo;Hebräisch
42702;106116;106;0;1;Hindi;Hindi;Hindi;Hindi
52702;106117;106;0;1;Indigenous Languages;Lenguas Indígenas;Linguas Indíxenas;Indigene Sprachen
62702;106118;106;0;1;Japanese;Japonés;Xaponés;Japanisch
72702;106119;106;0;1;Korean;Coreano;Coreano;Koreanisch
82702;106120;106;0;1;Other Languages;Otros Idiomas;Outros Idiomas;Weitere Sprachen
92702;106121;106;0;1;Portuguese;Portugués;Portugués;Portugiesisch
102702;106122;106;0;1;Russian;Ruso;Ruso;Russisch
2635;107;ITUNESU;0;1;Literature;Literatura;Literatura;Literatur
2703;107100;107;0;1;Anthologies;Antologías;Antoloxías;Anthologien
2704;107101;107;0;1;Biography;Biografía;Biografía;Biographie
2705;107102;107;0;1;Classics;Clásicos;Clásicos;Altphilologie
2706;107103;107;0;1;Literary Criticism;Crítica;Crítica;Literaturwissenschaft
2707;107104;107;0;1;Fiction;Ficción;Ficción;Belletristik
2708;107105;107;0;1;Poetry;Poesía;Poesía;Lyrik
12708;107106;107;0;1;Comparative Literature;Literatura Comparada;Literatura Comparada;Vergleichende Literaturwissenschaft
2636;108;ITUNESU;0;1;Mathematics;Matemáticas;Matemáticas;Mathematik
2709;108100;108;0;1;Advanced Mathematics;Matemáticas Avanzadas;Matemáticas Avanzadas;Höhere Mathematik
2710;108101;108;0;1;Algebra;Álgebra;Álxebra;Algebra
2711;108102;108;0;1;Arithmetic;Aritmética;Aritmética;Arithmetik
2712;108103;108;0;1;Calculus;Cálculo;Cálculo;Analysis
2713;108104;108;0;1;Geometry;Geometría;Xeometría;Geometrie
2714;108105;108;0;1;Statistics;Estadística;Estadística;Statistik
2637;109;ITUNESU;0;1;Science;Ciencias;Ciencias;Naturwissenschaften
2715;109100;109;0;1;Agricultural;Agrícola;Agrícola;Landwirtschaft
2716;109101;109;0;1;Astronomy;Astronomía;Astronomía;Astronomie
2717;109102;109;0;1;Atmospheric;Atmosférica;Atmosférica;Atmosphärenforschung
2718;109103;109;0;1;Biology;Biología;Bioloxía;Biologie
2719;109104;109;0;1;Chemistry;Química;Química;Chemie
2720;109105;109;0;1;Ecology;Ecología;Ecoloxía;Umweltforschung
2721;109106;109;0;1;Geography;Geografía;Xeografía;Geographie
2722;109107;109;0;1;Geology;Geología;Xeoloxía;Geologie
2723;109108;109;0;1;Physics;Física;Física;Physik
12723;109109;109;0;1;Environment;Medio Ambiente;Medio Ambiente;Umwelt
2638;110;ITUNESU;0;1;Psychology & Social Science;Ciencias Sociales y Psicologías;Ciencias Sociais e Psicoloxía;Psychologie & Sozialwissenschaft
2724;110100;110;0;1;Law;Derecho;Dereito;Recht
2725;110101;110;0;1;Political Science;Ciencias Políticas;Ciencias Políticas;Politikwissenschaft
2726;110102;110;0;1;Public Administration;Administración Pública;Administración Pública;Öffentliche Verwaltung
2727;110103;110;0;1;Psychology;Psicología;Psicoloxía;Psychologie
2728;110104;110;0;1;Social Welfare;Seguridad Social;Seguridade Social;Sozialwesen
2729;110105;110;0;1;Sociology;Sociología;Socioloxía;Soziologie
12729;110106;110;0;1;Archaeology;Arqueología;Arqueoloxía;Archäologie
22729;110107;110;0;1;Anthropology;Antropología;Antropoloxía;Anthropologie
2639;111;ITUNESU;0;1;Society;Sociedad;Sociedade;Gesellschaft
2731;111101;111;0;1;Asia Pacific Studies;Estudios Asiáticos;Estudos Asiáticos;Asien-Pazifik-Wissenschaften
2732;111102;111;0;1;European Studies;Estudios Europeos;Estudos Europeos;Europawissenschaften
2733;111103;111;0;1;Indigenous Studies;Estudios Indígenas;Estudos Indíxenas;Indigene Studien
2734;111104;111;0;1;Latin & Caribbean Studies;Estudios Latinos y Caribeños;Estudos Latinos e Caribeños;Lateinamerikanische & karibische Studien
2735;111105;111;0;1;Middle Eastern Studies;Estudios de Oriente Medio;Estudos de Oriente Medio;Nahoststudien
2736;111106;111;0;1;Women’s Studies;Estudios sobre mujeres;Estudos sobre mulleres;Frauenforschung
12736;111107;111;0;1;African Studies;Estudios de África;Estudos de África;Afrikanistik
22736;111108;111;0;1;American Studies;Estudios de América;Estudos de América;Amerikanistik
32736;111109;111;0;1;Cross-cultural Studies;Estudios Transculturales;Estudos Transculturais;Interkulturelle Studien
42736;111110;111;0;1;Immigration & Emigration;Inmigración y Emigración;Inmigración e Emigración;Ein- & Auswanderung
52736;111111;111;0;1;Race & Ethnicity Studies;Estudios de raza y etnia;Estudos de raza e etnia.;Ethnizitätsforschung
62736;111112;111;0;1;Sexuality Studies;Estudios de Sexsualidad;Estudos de Sexualidade;Sexualitätenforschung
2640;112;ITUNESU;0;1;Teaching & Learning;Enseñanza y Educación;Ensinanza e Educación;Lehren & Lernen
2737;112100;112;0;1;Curriculum & Teaching;Curriculum y Enseñanza;Curriculum e Ensinanza;Curriculum & Lehre
2738;112101;112;0;1;Educational Leadership;Liderazgo Educativo;Liderazgo Educativo;Führung im Bildungswesen
2739;112102;112;0;1;Family & Childcare;Cuidado de los niños y la familia;Coidado dos miniños e a familia;Familie & Kinderbetreuung
2740;112103;112;0;1;Learning Resources;Recursos Educativos;Recursos Educativos;Lernressourcen
2741;112104;112;0;1;Psychology & Research;Psicología e Investigación;Psicoloxía e Investigación;Psychologie & Forschung
2742;112105;112;0;1;Special Education;Educación Especial;Educación Especial;Sonderpädagogik
2743;112106;112;0;1;Educational Technology;Tecnología Educativa;Tecnoloxía Educativa;Bildungstechnologie
2744;112107;112;0;1;Information/Library Science;Ciencia de la información/Biblioteconomia;Ciencia da información/Biblioteconomia;Information/Bibliothekswesen
2745;113;ITUNESU;0;1;Communications & Media;Comunicaciones y Medios;Comunicacións e Medios;Kommunikation & Medien
2746;113101;113;0;1;Broadcasting;Radiodifusión;Radiodifusión;Rundfunk
2747;113102;113;0;1;Digital Media;Medios Digitales;Medios Dixitais;Digitale Medien
2748;113103;113;0;1;Journalism;Periodismo;Xornalismo;Journalismus
2749;113104;113;0;1;Photojournalism;Fotoperiodismo;Fotoxornalismo;Fotojournalismus
2750;113105;113;0;1;Print;Impresión;Impresión;Print
2751;113106;113;0;1;Speech;Discurso;Discurso;Sprechen
2752;113107;113;0;1;Writing;Escritura;Escritura;Schreiben
2753;114;ITUNESU;0;1;Philosophy;Filosofía;Filosofía;Philosophie
2754;114100;114;0;1;Aesthetics;Estética;Estética;Ästhetik
2755;114101;114;0;1;Epistemology;Epistemología;Epistemoloxía;Epistemologie
2756;114102;114;0;1;Ethics;Ética;Ética;Ethik
2757;114103;114;0;1;Metaphysics;Metafísica;Metafísica;Metaphysik
2758;114104;114;0;1;Political Philosophy;Filosofía Política;Filosofía Política;Politische Philosophie
2759;114105;114;0;1;Logic;Lógica;Lógica;Logik
2760;114106;114;0;1;Philosophy of Language;Filosofía del Lenguaje;Filosofía da Linguaxe;Sprachphilosophie
2761;114107;114;0;1;Philosophy of Religion;Filosofía de la Religión;Filosofía do Relixión;Religionsphilosophie
2762;115;ITUNESU;0;1;Religion & Spirituality;Religión y Espiritualidad;Relixión e Espiritualidade;Religion & Spiritualität
2763;115100;115;0;1;Buddhism;Budismo;Budismo;Buddhismus
2764;115101;115;0;1;Christianity;Cristianismo;Cristianismo;Christentum
2765;115102;115;0;1;Comparative Religion;Religión Comparativa;Relixión Comparativa;Vergleichende Religionswissenschaft
2766;115103;115;0;1;Hinduism;Hinduismo;Hinduismo;Hinduismus
2767;115104;115;0;1;Islam;Islam;Islam;Islam
2768;115105;115;0;1;Judaism;Judaísmo;Xudaísmo;Judaismus
