id;cod;tree_parent_cod;metatag;display;name_es;name_gl;name_en;name_ca
1;UNESCO;0;1;1;UNESCO;UNESCO;UNESCO;UNESCO
2;U110000;UNESCO;0;1;"Lógica";"Lóxica";"Logic";"Lògica"
3;U110100;U110000;0;1;"Aplicaciones de la lógica";"Aplicacións da lóxica";"Application of logic";"Aplicacions de la lògica"
4;U110200;U110000;0;1;"Lógica deductiva";"Lóxica dedutiva";"Deductive logic";"Lògica deductiva"
5;U110201;U110200;0;1;"Analogía";"Analoxía";"Analogy";"Analogia"
6;U110202;U110200;0;1;"Álgebra de Boole";"Álxebra de Boole";"Boolean algebra";"Àlgebra de Boole"
7;U110203;U110200;0;1;"Lógica formal";"Lóxica formal";"Formal logic";"Lògica formal"
8;U110204;U110200;0;1;"Lenguajes formalizados";"Linguaxes formalizados";"Formalized languages";"Llenguatges formals"
9;U110205;U110200;0;1;"Sistemas formales";"Sistemas formais";"Formal systems";"Sistemes formals"
10;U110206;U110200;0;1;"Fundamentos de matemáticas";"Fundamentos de matemáticas";"Foundations of mathematics";"Fonaments de matemàtiques"
11;U110207;U110200;0;1;"Generalización";"Xeneralización";"Generalization";"Generalització"
12;U110208;U110200;0;1;"Lógica matemática";"Lóxica matemática";"Mathematical logic";"Lògica matemàtica"
13;U110209;U110200;0;1;"Lógica modal";"Lóxica modal";"Modal logic";"Lògica modal"
14;U110210;U110200;0;1;"Teoría de modelos";"Teoría de modelos";"Model theory";"Teoria de models"
15;U110211;U110200;0;1;"Teoría de pruebas";"Teoría de probas";"Proof theory";"Teoria de proves"
16;U110212;U110200;0;1;"Cálculo proposicional";"Cálculo proposicional";"Propositional calculus";"Càlcul proposicional"
17;U110213;U110200;0;1;"Funciones recursivas";"Funcións recursivas";"Recursive functions";"Funcions recursives"
18;U110214;U110200;0;1;"Lógica simbólica";"Lóxica simbólica";"Symbolic logic";"Lògica simbòlica"
19;U110215;U110200;0;1;"Teoría de lenguajes formales";"Teoría de linguaxes formais";"Theory of formal languages";"Teoria de llenguatges formals"
20;U110299;U110200;0;1;"Otras";"Outras";"Other";"Altres"
21;U110300;U110000;0;1;"Lógica general";"Lóxica xeral";"General logic";"Lògica general"
22;U110400;U110000;0;1;"Lógica inductiva";"Lóxica indutiva";"Inductive logic";"Lògica inductiva"
23;U110401;U110400;0;1;"Inducción";"Indución";"Induction";"Inducció"
24;U110402;U110400;0;1;"Intuicionismo";"Intuicionismo";"Intuitionism";"Intuïció"
25;U110403;U110400;0;1;"Probabilidad";"Probabilidade";"Probability";"Probabilitat"
26;U110499;U110400;0;1;"Otras";"Outras";"Other";"Altres"
27;U110500;U110000;0;1;"Metodología";"Metodoloxía";"Methodology";"Metodologia"
28;U110501;U110500;0;1;"Método científico";"Método científico";"Scientific method";"Mètode científic"
29;U110599;U110500;0;1;"Otras";"Outras";"Other";"Altres"
30;U119900;U110000;0;1;"Otras especialidades relativas a la lógica";"Outras especialidades relativas á lóxica";"Other specialities relating to logic";"Other specialities relating to logic"
31;U120000;UNESCO;0;1;"Matemáticas";"Matemáticas";"Mathematics";"Matemàtiques"
32;U120100;U120000;0;1;"Álgebra";"Álxebra";"Algebra";"Àlgebra"
33;U120101;U120100;0;1;"Geometría algebraica";"Xeometría alxebraica";"Algebraic geometry";"Geometria algebraica"
34;U120102;U120100;0;1;"Teoría axiomática de conjuntos";"Teoría axiomática de conxuntos";"Axiomatic set theory";"Teoria axiomàtica de conjunts"
35;U120103;U120100;0;1;"Teoría de categorías";"Teoría de categorías";"Category theory";"Teoria de categories"
36;U120104;U120100;0;1;"Álgebra diferencial";"Álxebra diferencial";"Differential algebra";"Àlgebra diferencial"
37;U120105;U120100;0;1;"Campos;anillos;álgebras";"Campos;aneis;álxebras";"Fields;rings;algebra";"Cossos i anells, àlgebres"
38;U120106;U120100;0;1;"Grupos;generalidades";"Grupos;xeneralidades";"Groups;generalizations";"Grup, generalitats"
39;U120107;U120100;0;1;"Álgebra homológica";"Álxebra homolóxica";"Homological algebra";"Àlgebra homològica"
40;U120108;U120100;0;1;"Retículos";"Retículos";"Lattices";"Reticles"
41;U120109;U120100;0;1;"Álgebra de Lie";"Álxebra de Lie";"Lie algebra";"Àlgebra de Lie"
42;U120110;U120100;0;1;"Álgebra lineal";"Álxebra lineal";"Linear algebra";"Àlgebra lineal"
43;U120111;U120100;0;1;"Teoría de matrices";"Teoría de matrices";"Matrix theory";"Teoria de matrius"
44;U120112;U120100;0;1;"Álgebras no asociativas";"Álxebras non asociativas";"Non-associative algebras";"Àlgebres no associatives"
45;U120113;U120100;0;1;"Polinomios";"Polinomios";"Polynomials";"Polinomis"
46;U120114;U120100;0;1;"Teoría de la representación";"Teoría da representación";"Representation theory";"Teoria de representacions"
47;U120199;U120100;0;1;"Otras";"Outras";"Other";"Altres"
48;U120200;U120000;0;1;"Análisis y análisis funcional";"Análise e análise funcional";"Analysis and functional analysis";"Anàlisi i anàlisi funcional"
49;U120201;U120200;0;1;"Álgebra de operadores";"Álxebra de operadores";"Algebra of operators";"Àlgebra d'operadors"
50;U120202;U120200;0;1;"Teoría de la aproximación";"Teoría da aproximación";"Approximation theory";"Teoria de l'aproximació"
51;U120203;U120200;0;1;"Álgebras y espacios de Banach";"Álxebras e espazos de Banach";"Banach spaces and algebras";"Àlgebra i espais de Banach"
52;U120204;U120200;0;1;"Cálculo de variaciones";"Cálculo de variacións";"Calculus of variations";"Càlcul de variacions"
53;U120205;U120200;0;1;"Análisis combinatorio";"Análise combinatorio";"Combinatorial analysis";"Anàlisi combinatòria"
54;U120206;U120200;0;1;"Convexidad;desigualdades";"Convexidade;desigualdades";"Convexity;inequalities";"Convexitat, desigualtats"
55;U120207;U120200;0;1;"Educaciones en diferencias";"Educacións en diferencias";"Difference equations";"Equacions diferencials"
